at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Osasuna,9.0,3.0,3.0,7.0,5.0,4.0,Sociedad,3.0,15.0,1.0,3.5,1.0,-0.5,H,2.0
Ath Bilbao,3.0,13.0,7.0,8.0,3.5,4.0,Valladolid,-8.0,-8.0,-9.0,3.5,1.0,-2.0,H,2.0
Malaga,-3.0,-9.0,-1.0,0.0,-0.5,1.0,Ath Bilbao,1.0,10.0,1.0,6.0,2.0,2.0,H,0.5
Mallorca,-7.0,-2.0,-5.0,3.5,-0.5,-1.0,La Coruna,13.0,17.0,9.0,4.0,3.0,2.0,A,-1.5
Celta,-1.0,1.0,2.0,6.0,1.5,0.5,Valencia,12.0,11.0,9.0,2.5,2.5,1.0,D,-0.5
Ath Bilbao,1.0,12.0,2.0,8.0,2.0,2.5,Real Madrid,13.0,20.0,3.0,7.5,5.0,1.5,H,0.0
Valencia,14.0,11.0,6.0,2.5,3.0,1.5,Mallorca,-5.0,-1.0,-3.0,2.5,-1.0,-1.5,A,0.0
Barcelona,6.0,10.0,2.0,6.5,3.5,1.5,Sociedad,1.0,11.0,-6.0,3.0,1.5,-1.5,D,-2.0
Osasuna,6.0,4.0,3.0,6.0,4.0,2.5,Villarreal,-4.0,-4.0,-2.0,1.5,0.5,-1.0,H,2.5
Espanol,-14.0,-13.0,-10.0,0.0,-2.0,-2.0,Ath Bilbao,0.0,8.0,-2.0,6.0,2.0,0.5,H,0.5
Sociedad,-2.0,12.0,-5.0,4.5,1.0,0.0,La Coruna,11.0,16.0,5.0,4.5,3.5,2.5,H,3.0
Valladolid,-4.0,-2.0,-1.0,6.5,2.0,1.5,Osasuna,4.0,4.0,1.0,5.0,3.0,0.5,D,1.5
Mallorca,-7.0,-3.0,-3.0,2.5,0.0,0.0,Sociedad,-3.0,9.0,-6.0,2.5,-0.5,-1.5,A,1.0
Barcelona,4.0,15.0,4.0,9.0,4.0,2.5,Villarreal,-1.0,-4.0,-4.0,1.5,0.0,-1.5,H,-0.5
Ath Bilbao,2.0,9.0,-1.0,6.5,3.0,1.0,Celta,-1.0,-2.0,1.0,4.5,2.0,1.0,A,1.0
Osasuna,2.0,5.0,1.0,6.5,3.5,0.5,Malaga,-1.0,-9.0,1.0,-1.5,-1.0,0.0,D,2.0
Real Madrid,11.0,21.0,3.0,8.0,3.5,2.5,Osasuna,3.0,7.0,0.0,7.0,4.0,0.0,D,0.0
Valladolid,-3.0,0.0,6.0,8.0,2.0,4.0,Barcelona,3.0,14.0,5.0,7.5,2.5,1.5,D,0.5
Villarreal,0.0,-3.0,-1.0,2.0,0.5,0.5,La Coruna,9.0,13.0,0.0,5.0,4.0,3.0,A,1.5
Valencia,14.0,15.0,5.0,4.0,3.0,2.0,Sociedad,-5.0,4.0,-6.0,3.0,-0.5,-1.0,D,0.5
Osasuna,2.0,6.0,1.0,7.5,3.5,1.5,Espanol,-14.0,-17.0,-2.0,-2.0,-4.0,-1.0,A,0.0
Barcelona,2.0,13.0,3.0,7.0,3.0,2.0,Malaga,-1.0,-12.0,0.0,-2.5,0.5,-0.5,H,-0.5
La Coruna,7.0,15.0,-2.0,6.0,4.0,2.0,Valladolid,2.0,0.0,4.0,8.0,3.5,3.5,D,-1.0
Mallorca,-3.0,-4.0,2.0,2.0,1.0,2.0,Villarreal,0.0,3.0,0.0,3.0,0.5,0.0,A,2.0
