name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Abdallahi Mahmoud,"0.00,0.00","0.00,0.00","0.00,0.00","0.00,0.00",,,,,,"33,3","38,6","3,1","27,1","3,1","0,0","0.00,0.00","0.00,0.00","5,2","5,1","6,1","39,11","12,2","1,0","0,0","3,0","211,11","3,0","4,1","9,2"
John Guidetti,"0.36,0.00,0.00","0.12,0.00,0.00","0.48,0.00,0.00","0.36,0.00,0.00","3,0,0","2.40,1.87,3.21","0.60,0.00,0.00","[None, '1', '0']","0,0,0","[None, '22', '3']","[None, '35', '5']","[None, '0', '0']","[None, '19', '3']","[None, '3', '0']","[None, '2', '1']","[None, '1.87', '3.21']","[None, '0.00', '0.00']","[None, '3', '0']","2,2,0","[None, '1', '0']","[None, '28', '6']","[None, '6', '0']","[None, '1', '0']","[None, '0', '0']","[None, '2', '0']","[None, '160', '12']","14,0,0","[None, '1', '1']","[None, '3', '1']"
Borja Sainz,"0.16,0.00","0.00,0.00","0.16,0.00","0.16,0.00","1,0","1.41,2.07","0.79,1.03","0,0","0,0","94,25","130,31","5,3","80,18","9,4","14,2","2.20,2.07","0.00,0.00","16,1","11,0","21,4","203,29","40,8","12,2","0,0","11,3","1445,383","22,2","5,0","62,12"
Luis Rioja,"0.12,0.00,0.00","0.03,0.00,0.00","0.15,0.00,0.00","0.12,0.00,0.00","4,0,0","[None, '0.50', '0.00']","[None, '0.11', '0.00']","[None, '0', '0']","0,0,0","[None, '306', '60']","[None, '436', '95']","[None, '7', '1']","[None, '275', '56']","[None, '24', '3']","[None, '26', '3']","[None, '1.43', '1.18']","[None, '0.06', '0.00']","[None, '18', '3']","[None, '14', '2']","[None, '25', '3']","[None, '291', '36']","[None, '60', '9']","[None, '24', '3']","[None, '0', '0']","[None, '24', '0']","[None, '3326', '427']","[None, '20', '3']","[None, '11', '0']","[None, '108', '17']"
Rodrigo Ely,"0.00,0.08,0.53","0.00,0.00,0.00","0.00,0.08,0.53","0.00,0.08,0.53","0,2,1","0.63,0.25,0.53","0.21,0.13,0.53","0,0,0","0,0,0","100,667,52","135,839,65","0,4,1","49,380,24","51,283,27","1,2,1","0.21,0.08,0.53","0.00,0.00,0.00","6,27,2","4,16,1","8,27,1","31,160,8","12,49,6","16,38,1","8,20,0","0,4,0","358,2576,94","7,34,3","24,81,7","44,268,19"
Lucas Pérez,"0.57,0.40,0.00","0.00,0.18,0.43","0.57,0.40,0.43","0.57,0.22,0.00","3,11,0","1.71,1.55,1.29","0.57,0.50,0.86","0,4,0","0,5,0","102,448,42","148,705,69","3,19,1","92,327,31","7,102,10","11,91,6","2.08,3.28,2.58","0.00,0.32,0.43","4,12,1","3,10,1","5,19,0","137,391,34","30,107,10","2,13,1","1,1,1","5,21,3","672,3612,436","5,27,1","1,11,1","28,116,14"
Tomás Pina Isla,"0.08,0.07,0.00","0.00,0.00,0.00","0.08,0.07,0.00","0.08,0.07,0.00","2,1,0","0.50,0.13,0.00","0.08,0.07,0.00","0,0,0","0,0,0","886,419,34","1059,525,44","17,13,1","714,337,30","155,69,3","45,10,1","1.73,0.67,0.55","0.08,0.07,0.00","57,34,1","38,21,1","51,20,0","434,231,22","124,63,6","38,18,5","6,5,0","13,9,0","3468,1605,122","58,44,7","53,45,5","326,174,17"
Florian Lejeune,"0.00,0.41,0.00","0.00,0.00,0.00","0.00,0.41,0.00","0.00,0.41,0.00","0,2,0","[None, '0.81', '0.25']","[None, '0.61', '0.00']","[None, '0', '1']","0,0,0","[None, '136', '110']","[None, '187', '151']","[None, '0', '1']","[None, '97', '60']","[None, '39', '49']","[None, '1', '2']","[None, '0.20', '0.50']","[None, '0.00', '0.00']","[None, '8', '11']","[None, '6', '7']","[None, '9', '8']","[None, '58', '43']","[None, '19', '16']","[None, '13', '6']","[None, '2', '2']","[None, '2', '0']","[None, '592', '409']","[None, '6', '6']","[None, '13', '11']","[None, '64', '50']"
Ximo Navarro,"0.07,0.00,0.00","0.07,0.00,0.00","0.14,0.00,0.00","0.07,0.00,0.00","2,0,0","0.43,0.33,0.57","0.11,0.05,0.29","0,0,0","0,0,0","779,643,102","1001,848,137","7,15,1","588,503,71","184,125,30","30,6,2","1.07,0.28,0.57","0.18,0.00,0.00","53,47,8","23,27,6","39,29,10","252,269,47","80,81,13","41,49,5","12,9,1","20,14,2","4336,3396,481","18,29,6","39,37,5","250,229,37"
Deyverson,"0.25,0.00,0.00","0.10,0.44,0.30","0.36,0.44,0.30","0.25,0.00,0.00","5,0,0","2.38,1.76,1.18","0.96,0.44,0.00","[None, '1', '0']","0,0,0","[None, '34', '46']","[None, '68', '107']","[None, '3', '1']","[None, '22', '35']","[None, '9', '10']","[None, '5', '7']","[None, '2.21', '2.07']","[None, '0.88', '0.59']","[None, '0', '2']","15,0,2","[None, '2', '3']","[None, '44', '67']","[None, '7', '20']","[None, '3', '8']","[None, '1', '0']","[None, '4', '2']","[None, '202', '263']","29,7,3","[None, '15', '18']","[None, '14', '31']"
