name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
David Silva,0.30,0.49,0.79,0.30,6,2.27,0.84,5,0,1319,1513,30,1113,176,108,5.32,0.84,26,16,25,302,96,21,4,34,6624,20,8,164
Alexander Isak,0.54,0.06,0.60,0.54,9,2.87,0.78,0,0,55,71,3,44,8,3,0.78,0.00,2,1,0,38,9,1,0,1,333,0,6,13
Portu,0.26,0.26,0.53,0.26,7,1.50,0.56,0,0,456,664,17,384,55,69,2.60,0.41,38,23,46,435,112,39,3,10,3862,31,19,121
Aimar Oroz,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Gorka Zabarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Pérez,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Merino,0.14,0.03,0.17,0.14,5,1.26,0.40,1,0,1519,1974,37,1197,285,76,2.18,0.23,82,63,81,668,202,58,6,34,7319,76,158,410
Álex Remiro,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,99,125,0,50,49,0,0.00,0.00,0,0,0,1,0,0,0,0,292,0,0,24
Javi Martínez,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
